,HappyScore
45,49.98
8,57.04
55,59.96
209,52.54
40,44.17
225,56.82
220,59.96
51,49.98
213,52.54
122,46.04
115,59.96
201,44.58
60,51.4
12,45.94
64,57.8
152,56.61
256,52.37
177,55.14
15,59.5
7,52.37
85,52.54
78,59.96
83,44.17
129,61.59
194,59.96
88,47.43
141,45.94
155,57.42
84,45.94
246,56.82
101,46.04
242,59.96
97,69.09
186,52.16
255,46.04
211,59.96
114,57.01
46,52.54
241,38.22
170,60.92
77,49.14
22,52.16
116,52.54
108,56.61
161,69.09
103,52.37
65,49.98
100,52.37
21,49.98
4,57.42
178,59.96
166,56.82
120,59.96
143,51.32
154,57.04
61,59.96
102,52.54
197,60.65
79,52.54
133,52.54
119,39.03
67,60.92
39,46.04
268,61.59
233,45.94
56,44.58
261,47.43
124,52.54
87,39.96
121,45.94
53,61.59
160,49.98
148,71.02
35,59.96
238,49.14
254,49.98
252,52.6
221,49.98
16,57.42
125,60.92
168,51.4
245,38.22
68,57.42
37,51.32
235,44.17
267,52.54
82,59.96
66,52.6
265,49.98
59,49.98
105,45.94
199,36.05
248,52.23
172,57.42
187,46.04
113,59.96
234,59.26
175,52.6
25,59.96
259,47.43
138,44.17
263,60.65
216,56.61
229,54.55
191,49.14
0,59.96
184,59.96
214,52.6
74,57.42
20,57.42
135,57.8
23,52.16
28,52.23
41,39.96
99,47.06
52,49.98
202,51.4
236,52.23
94,57.42
204,56.61
228,34.15
181,34.15
36,59.96
195,57.42
107,59.96
137,51.4
257,49.98
70,59.26
75,49.98
126,57.01
93,56.61
92,35.08
34,56.61
258,55.14
19,57.01
48,51.32
270,56.82
3,57.42
198,57.42
169,45.94
2,56.82
244,47.06
192,41.36
190,55.14
110,61.59
183,41.36
260,52.54
44,46.04
69,47.43
232,52.6
179,52.54
264,55.14
271,59.26
215,57.01
182,58.01
76,57.04
117,45.94
80,60.93
231,60.92
127,58.01
193,52.23
240,47.06
174,52.16
95,57.01
90,46.04
269,57.42
140,57.42
54,52.54
176,59.26
207,45.94
227,59.96
13,52.6
123,57.8
251,52.6
18,52.6
58,49.98
222,44.58
38,52.54
132,58.01
134,52.54
42,59.96
151,59.96
